National LGA Name 2024,SA4 Name 2021,National Remoteness Areas,National Road Type,location_id
Moyne,Warrnambool and South West,Outer Regional Australia,Local Road,179
Wollondilly,Sydney - Outer South West,Inner Regional Australia,Arterial Road,180
Scenic Rim,Ipswich,Inner Regional Australia,Sub-arterial Road,181
Casey,Melbourne - South East,Major Cities of Australia,Arterial Road,182
Gladstone,Central Queensland,Outer Regional Australia,Collector Road,183
Northern Areas,Barossa - Yorke - Mid North,Outer Regional Australia,Arterial Road,184
Tablelands,Cairns,Outer Regional Australia,Sub-arterial Road,185
Sydney,Sydney - City and Inner South,Major Cities of Australia,National or State Highway,186
Murrindindi,Hume,Inner Regional Australia,National or State Highway,187
Port Adelaide Enfield,Adelaide - West,Major Cities of Australia,Local Road,188
Albury,Murray,Inner Regional Australia,National or State Highway,189
Gold Coast,Gold Coast,Major Cities of Australia,Sub-arterial Road,190
Boroondara,Melbourne - Inner East,Major Cities of Australia,Arterial Road,191
Redland,Brisbane - East,Major Cities of Australia,Sub-arterial Road,192
Unincorporated ACT,Australian Capital Territory,Major Cities of Australia,Collector Road,193
Playford,Adelaide - North,Inner Regional Australia,Collector Road,194
South Gippsland,Latrobe - Gippsland,Inner Regional Australia,National or State Highway,195
Hinchinbrook,Townsville,Outer Regional Australia,Local Road,196
Boroondara,Melbourne - Inner East,Major Cities of Australia,Local Road,197
Fraser Coast,Wide Bay,Inner Regional Australia,Collector Road,198
Yarra Ranges,Melbourne - Outer East,Inner Regional Australia,Sub-arterial Road,199
Colac Otway,Warrnambool and South West,Inner Regional Australia,Access road,200
Bega Valley,Capital Region,Outer Regional Australia,Arterial Road,201
Surf Coast,Geelong,Inner Regional Australia,Local Road,202
Mount Barker,Adelaide - Central and Hills,Inner Regional Australia,Arterial Road,203
Brisbane,Brisbane - East,Major Cities of Australia,Sub-arterial Road,204
Cessnock,Hunter Valley exc Newcastle,Major Cities of Australia,Local Road,205
Maitland,Hunter Valley exc Newcastle,Inner Regional Australia,National or State Highway,206
Federation,Murray,Outer Regional Australia,Sub-arterial Road,207
Hobart,Hobart,Inner Regional Australia,Local Road,208
Mitcham,Adelaide - South,Major Cities of Australia,Collector Road,209
Clarence Valley,Coffs Harbour - Grafton,Inner Regional Australia,Sub-arterial Road,210
Adelaide,Adelaide - Central and Hills,Major Cities of Australia,Sub-arterial Road,211
Penrith,Sydney - Outer West and Blue Mountains,Major Cities of Australia,Arterial Road,212
Brisbane,Brisbane - South,Major Cities of Australia,National or State Highway,213
Lismore,Richmond - Tweed,Inner Regional Australia,Local Road,214
Greater Shepparton,Shepparton,Inner Regional Australia,Sub-arterial Road,215
Merri-bek,Melbourne - North West,Major Cities of Australia,Sub-arterial Road,216
Narrandera,Riverina,Outer Regional Australia,Local Road,217
Logan,Logan - Beaudesert,Major Cities of Australia,Local Road,218
Huon Valley,South East,Outer Regional Australia,Sub-arterial Road,219
Cessnock,Hunter Valley exc Newcastle,Inner Regional Australia,Sub-arterial Road,220
Griffith,Riverina,Outer Regional Australia,Local Road,221
Wodonga,Hume,Inner Regional Australia,Local Road,222
Sunshine Coast,Sunshine Coast,Major Cities of Australia,Access road,223
Mid-Coast,Hunter Valley exc Newcastle,Inner Regional Australia,Arterial Road,224
Darebin,Melbourne - Inner,Major Cities of Australia,Local Road,225
Murrindindi,Hume,Inner Regional Australia,Sub-arterial Road,226
Ballarat,Ballarat,Inner Regional Australia,Sub-arterial Road,227
Wingecarribee,Southern Highlands and Shoalhaven,Inner Regional Australia,Local Road,228
Cardinia,Melbourne - South East,Inner Regional Australia,Access road,229
Rockhampton,Central Queensland,Inner Regional Australia,Local Road,230
Maroondah,Melbourne - Outer East,Major Cities of Australia,Local Road,231
Albury,Murray,Inner Regional Australia,Arterial Road,232
Tweed,Richmond - Tweed,Major Cities of Australia,Local Road,233
North Burnett,Wide Bay,Outer Regional Australia,National or State Highway,234
Moree Plains,New England and North West,Remote Australia,Sub-arterial Road,235
Huon Valley,South East,Outer Regional Australia,National or State Highway,236
Mornington Peninsula,Mornington Peninsula,Major Cities of Australia,Collector Road,237
Fairfield,Sydney - South West,Major Cities of Australia,Local Road,238
Unley,Adelaide - Central and Hills,Major Cities of Australia,Sub-arterial Road,239
Alexandrina,South Australia - South East,Inner Regional Australia,Arterial Road,240
Yarra Ranges,Melbourne - Outer East,Inner Regional Australia,Arterial Road,241
Gympie,Wide Bay,Outer Regional Australia,Local Road,242
Melton,Melbourne - West,Major Cities of Australia,National or State Highway,243
Frankston,Mornington Peninsula,Major Cities of Australia,Local Road,244
Burdekin,Townsville,Outer Regional Australia,National or State Highway,245
Knox,Melbourne - Outer East,Major Cities of Australia,Local Road,246
Mid-Coast,Mid North Coast,Inner Regional Australia,Sub-arterial Road,247
Whittlesea,Melbourne - North East,Inner Regional Australia,Arterial Road,248
Mareeba,Queensland - Outback,Very Remote Australia,Local Road,249
Western Downs,Darling Downs - Maranoa,Outer Regional Australia,Local Road,250
Yarra Ranges,Melbourne - Outer East,Inner Regional Australia,Local Road,251
Monash,Melbourne - South East,Major Cities of Australia,Arterial Road,252
Unincorporated NSW,Far West and Orana,Very Remote Australia,National or State Highway,253
South Burnett,Wide Bay,Inner Regional Australia,Local Road,254
Blacktown,Sydney - Blacktown,Major Cities of Australia,Local Road,255
Cumberland,Sydney - Parramatta,Major Cities of Australia,Collector Road,256
Barcaldine,Queensland - Outback,Very Remote Australia,Local Road,257
Wyndham,Melbourne - West,Major Cities of Australia,Arterial Road,258
Glen Innes Severn,New England and North West,Outer Regional Australia,National or State Highway,259
Lismore,Richmond - Tweed,Inner Regional Australia,National or State Highway,260
Yarra Ranges,Melbourne - Outer East,Inner Regional Australia,National or State Highway,261
Northern Beaches,Sydney - Northern Beaches,Major Cities of Australia,Arterial Road,262
Townsville,Townsville,Outer Regional Australia,Local Road,263
Livingstone,Central Queensland,Outer Regional Australia,National or State Highway,264
Greater Shepparton,Shepparton,Inner Regional Australia,Arterial Road,265
Yarra Ranges,Melbourne - Outer East,Major Cities of Australia,Sub-arterial Road,266
Golden Plains,Ballarat,Inner Regional Australia,Arterial Road,267
Cook,Queensland - Outback,Very Remote Australia,Sub-arterial Road,268
Ipswich,Ipswich,Major Cities of Australia,Sub-arterial Road,269
Clarence,Hobart,Inner Regional Australia,Arterial Road,270
Georges River,Sydney - Inner South West,Major Cities of Australia,Arterial Road,271
Maitland,Hunter Valley exc Newcastle,Major Cities of Australia,Arterial Road,272
Greater Hume,Murray,Inner Regional Australia,Arterial Road,273
Kingston (Vic.),Melbourne - South East,Major Cities of Australia,Local Road,274
Manningham,Melbourne - Inner East,Major Cities of Australia,Arterial Road,275
Sunshine Coast,Sunshine Coast,Major Cities of Australia,Sub-arterial Road,276
Bathurst,Central West,Inner Regional Australia,National or State Highway,277
Wudinna,South Australia - Outback,Remote Australia,National or State Highway,278
Inverell,New England and North West,Outer Regional Australia,Arterial Road,279
Brimbank,Melbourne - West,Major Cities of Australia,Arterial Road,280
Darebin,Melbourne - North East,Major Cities of Australia,Collector Road,281
Penrith,Sydney - Outer West and Blue Mountains,Major Cities of Australia,Local Road,282
Charles Sturt,Adelaide - West,Major Cities of Australia,Collector Road,283
Flinders (Tas.),Launceston and North East,Very Remote Australia,Arterial Road,284
Scenic Rim,Ipswich,Inner Regional Australia,Collector Road,285
Burnie,West and North West,Outer Regional Australia,Arterial Road,286
Mornington Peninsula,Mornington Peninsula,Major Cities of Australia,Pedestrian Thoroughfare,287
Armidale,New England and North West,Outer Regional Australia,Access road,288
Ballarat,Ballarat,Inner Regional Australia,Arterial Road,289
Dubbo,Far West and Orana,Inner Regional Australia,Sub-arterial Road,290
Melton,Melbourne - West,Major Cities of Australia,Local Road,291
Gold Coast,Gold Coast,Major Cities of Australia,Local Road,292
Darebin,Melbourne - North East,Major Cities of Australia,Local Road,293
Ipswich,Ipswich,Major Cities of Australia,Local Road,294
Greater Geelong,Geelong,Major Cities of Australia,Sub-arterial Road,295
Adelaide Hills,Adelaide - Central and Hills,Major Cities of Australia,Collector Road,296
Cardinia,Melbourne - South East,Major Cities of Australia,National or State Highway,297
Whitsunday,Mackay - Isaac - Whitsunday,Outer Regional Australia,Sub-arterial Road,298
Mitchell,Hume,Inner Regional Australia,Collector Road,299
Wyndham,Melbourne - West,Major Cities of Australia,Local Road,300
Onkaparinga,Adelaide - South,Inner Regional Australia,Collector Road,301
Stonnington,Melbourne - Inner South,Major Cities of Australia,Sub-arterial Road,302
Unincorporated SA,South Australia - Outback,Very Remote Australia,National or State Highway,303
Launceston,Launceston and North East,Outer Regional Australia,Collector Road,304
Indigo,Hume,Inner Regional Australia,National or State Highway,305
Yarra,Melbourne - Inner,Major Cities of Australia,Arterial Road,306
Canterbury-Bankstown,Sydney - Inner South West,Major Cities of Australia,Arterial Road,307
Port Phillip,Melbourne - Inner,Major Cities of Australia,Collector Road,308
Cardinia,Melbourne - South East,Major Cities of Australia,Arterial Road,309
Frankston,Mornington Peninsula,Major Cities of Australia,Arterial Road,310
Cassowary Coast,Cairns,Outer Regional Australia,Sub-arterial Road,311
Scenic Rim,Ipswich,Inner Regional Australia,National or State Highway,312
Gladstone,Central Queensland,Outer Regional Australia,Sub-arterial Road,313
Mackay,Mackay - Isaac - Whitsunday,Outer Regional Australia,Sub-arterial Road,314
Waratah-Wynyard,West and North West,Outer Regional Australia,National or State Highway,315
Campaspe,Shepparton,Inner Regional Australia,National or State Highway,316
Logan,Logan - Beaudesert,Major Cities of Australia,Collector Road,317
Barkly,Northern Territory - Outback,Very Remote Australia,National or State Highway,318
Blacktown,Sydney - Parramatta,Major Cities of Australia,National or State Highway,319
Forbes,Central West,Outer Regional Australia,National or State Highway,320
Blayney,Central West,Inner Regional Australia,National or State Highway,321
Campbelltown (SA),Adelaide - Central and Hills,Major Cities of Australia,Collector Road,322
Latrobe (Vic.),Latrobe - Gippsland,Inner Regional Australia,Local Road,323
Lithgow,Central West,Inner Regional Australia,Sub-arterial Road,324
Surf Coast,Geelong,Inner Regional Australia,Sub-arterial Road,325
Palmerston,Darwin,Outer Regional Australia,Sub-arterial Road,326
Gunnedah,New England and North West,Outer Regional Australia,Local Road,327
Townsville,Townsville,Outer Regional Australia,National or State Highway,328
Break O'Day,Launceston and North East,Outer Regional Australia,Access road,329
Buloke,North West,Outer Regional Australia,Collector Road,330
West Wimmera,North West,Outer Regional Australia,Arterial Road,331
Lake Macquarie,Newcastle and Lake Macquarie,Major Cities of Australia,Local Road,332
Ku-ring-gai,Sydney - North Sydney and Hornsby,Major Cities of Australia,Arterial Road,333
Snowy Monaro,Capital Region,Outer Regional Australia,Sub-arterial Road,334
Hobart,Hobart,Inner Regional Australia,Sub-arterial Road,335
Shoalhaven,Southern Highlands and Shoalhaven,Inner Regional Australia,Sub-arterial Road,336
Greater Bendigo,Bendigo,Inner Regional Australia,Sub-arterial Road,337
Warrnambool,Warrnambool and South West,Inner Regional Australia,Local Road,338
Goulburn Mulwaree,Capital Region,Inner Regional Australia,Arterial Road,339
Berrigan,Murray,Inner Regional Australia,Local Road,340
Warren,Far West and Orana,Remote Australia,National or State Highway,341
Cook,Queensland - Outback,Very Remote Australia,Local Road,342
Mid-Western,Central West,Outer Regional Australia,Sub-arterial Road,343
Clarence Valley,Coffs Harbour - Grafton,Inner Regional Australia,Arterial Road,344
Moira,Shepparton,Inner Regional Australia,Arterial Road,345
Fraser Coast,Wide Bay,Inner Regional Australia,National or State Highway,346
Brisbane,Brisbane - North,Major Cities of Australia,Local Road,347
Berri Barmera,South Australia - South East,Outer Regional Australia,Local Road,348
Alexandrina,South Australia - South East,Inner Regional Australia,Collector Road,349
Narrandera,Riverina,Outer Regional Australia,Arterial Road,350
Glenelg,Warrnambool and South West,Outer Regional Australia,Arterial Road,351
Moonee Valley,Melbourne - Inner,Major Cities of Australia,Collector Road,352
