National LGA Name 2024,SA4 Name 2021,National Remoteness Areas,National Road Type,location_id
Griffith,Riverina,Outer Regional Australia,Sub-arterial Road,808
Lismore,Richmond - Tweed,Inner Regional Australia,Arterial Road,809
Ceduna,South Australia - Outback,Very Remote Australia,Collector Road,810
Parramatta,Sydney - Ryde,Major Cities of Australia,Arterial Road,811
Ku-ring-gai,Sydney - North Sydney and Hornsby,Major Cities of Australia,Collector Road,812
Northern Grampians,North West,Outer Regional Australia,Arterial Road,813
Derwent Valley,Hobart,Inner Regional Australia,National or State Highway,814
Tamworth,New England and North West,Inner Regional Australia,National or State Highway,815
Grant,South Australia - South East,Outer Regional Australia,Sub-arterial Road,816
Moreton Bay,Moreton Bay - South,Major Cities of Australia,Collector Road,817
Hornsby,Sydney - North Sydney and Hornsby,Major Cities of Australia,Collector Road,818
Mid-Western,Central West,Inner Regional Australia,Access road,819
Parramatta,Sydney - Ryde,Major Cities of Australia,Collector Road,820
Whitsunday,Mackay - Isaac - Whitsunday,Remote Australia,Sub-arterial Road,821
The Hills,Sydney - Baulkham Hills and Hawkesbury,Major Cities of Australia,Arterial Road,822
Shellharbour,Illawarra,Inner Regional Australia,National or State Highway,823
Swan Hill,North West,Outer Regional Australia,National or State Highway,824
Darwin,Darwin,Outer Regional Australia,Arterial Road,825
Launceston,Launceston and North East,Inner Regional Australia,Arterial Road,826
Sutherland,Sydney - Sutherland,Major Cities of Australia,Arterial Road,827
Golden Plains,Geelong,Inner Regional Australia,Sub-arterial Road,828
Townsville,Townsville,Outer Regional Australia,Collector Road,829
Port Stephens,Hunter Valley exc Newcastle,Inner Regional Australia,Local Road,830
Frankston,Mornington Peninsula,Major Cities of Australia,National or State Highway,831
Logan,Logan - Beaudesert,Inner Regional Australia,Sub-arterial Road,832
Melbourne,Melbourne - Inner,Major Cities of Australia,Local Road,833
Darebin,Melbourne - North East,Major Cities of Australia,Arterial Road,834
Golden Plains,Geelong,Inner Regional Australia,Local Road,835
Brighton,Hobart,Inner Regional Australia,Arterial Road,836
Baw Baw,Latrobe - Gippsland,Outer Regional Australia,Access road,837
Central Desert,Northern Territory - Outback,Very Remote Australia,Sub-arterial Road,838
Sydney,Sydney - City and Inner South,Major Cities of Australia,Local Road,839
Goulburn Mulwaree,Capital Region,Inner Regional Australia,Local Road,840
Monash,Melbourne - South East,Major Cities of Australia,Sub-arterial Road,841
Sutherland,Sydney - Outer South West,Inner Regional Australia,Arterial Road,842
Macedon Ranges,Bendigo,Inner Regional Australia,Sub-arterial Road,843
Cessnock,Hunter Valley exc Newcastle,Inner Regional Australia,National or State Highway,844
Hume,Melbourne - North West,Major Cities of Australia,Collector Road,845
Kempsey,Mid North Coast,Outer Regional Australia,Arterial Road,846
Mitcham,Adelaide - South,Major Cities of Australia,Sub-arterial Road,847
Wingecarribee,Southern Highlands and Shoalhaven,Inner Regional Australia,National or State Highway,848
Strathbogie,Hume,Inner Regional Australia,National or State Highway,849
Shoalhaven,Southern Highlands and Shoalhaven,Inner Regional Australia,Local Road,850
Murray Bridge,South Australia - South East,Inner Regional Australia,National or State Highway,851
Coonamble,Far West and Orana,Remote Australia,Sub-arterial Road,852
Coorong,South Australia - South East,Outer Regional Australia,National or State Highway,853
Gladstone,Central Queensland,Inner Regional Australia,Sub-arterial Road,854
Goondiwindi,Darling Downs - Maranoa,Outer Regional Australia,Sub-arterial Road,855
Wudinna,South Australia - Outback,Very Remote Australia,National or State Highway,856
Murweh,Queensland - Outback,Very Remote Australia,Sub-arterial Road,857
Clarence,Hobart,Inner Regional Australia,National or State Highway,858
Whittlesea,Melbourne - North East,Major Cities of Australia,Collector Road,859
Port Stephens,Hunter Valley exc Newcastle,Inner Regional Australia,National or State Highway,860
Ryde,Sydney - Ryde,Major Cities of Australia,National or State Highway,861
Eurobodalla,Capital Region,Outer Regional Australia,National or State Highway,862
Renmark Paringa,South Australia - South East,Outer Regional Australia,Sub-arterial Road,863
Loxton Waikerie,South Australia - South East,Outer Regional Australia,National or State Highway,864
Federation,Murray,Inner Regional Australia,Local Road,865
Central Coast (Tas.),West and North West,Outer Regional Australia,National or State Highway,866
Orange,Central West,Inner Regional Australia,National or State Highway,867
Berrigan,Murray,Outer Regional Australia,Arterial Road,868
Norwood Payneham and St Peters,Adelaide - Central and Hills,Major Cities of Australia,Local Road,869
Sorell,Hobart,Outer Regional Australia,National or State Highway,870
Clarence Valley,Coffs Harbour - Grafton,Outer Regional Australia,Arterial Road,871
Snowy Monaro,Capital Region,Inner Regional Australia,National or State Highway,872
Yass Valley,Capital Region,Major Cities of Australia,National or State Highway,873
MacDonnell,Northern Territory - Outback,Very Remote Australia,Sub-arterial Road,874
Wagga Wagga,Riverina,Inner Regional Australia,National or State Highway,875
Onkaparinga,Adelaide - South,Major Cities of Australia,Sub-arterial Road,876
George Town,Launceston and North East,Outer Regional Australia,National or State Highway,877
Wollondilly,Sydney - Outer South West,Inner Regional Australia,National or State Highway,878
Banyule,Melbourne - North East,Major Cities of Australia,Sub-arterial Road,879
Salisbury,Adelaide - North,Major Cities of Australia,National or State Highway,880
Snowy Monaro,Capital Region,Outer Regional Australia,Arterial Road,881
Hawkesbury,Sydney - Baulkham Hills and Hawkesbury,Major Cities of Australia,Local Road,882
Leeton,Riverina,Outer Regional Australia,Local Road,883
Balranald,Murray,Remote Australia,Arterial Road,884
Port Macquarie-Hastings,Mid North Coast,Inner Regional Australia,Arterial Road,885
Dorset,Launceston and North East,Outer Regional Australia,Arterial Road,886
Scenic Rim,Gold Coast,Inner Regional Australia,Sub-arterial Road,887
Barossa,Barossa - Yorke - Mid North,Inner Regional Australia,Collector Road,888
Maitland,Hunter Valley exc Newcastle,Major Cities of Australia,Local Road,889
Kyogle,Richmond - Tweed,Inner Regional Australia,Arterial Road,890
Newcastle,Newcastle and Lake Macquarie,Major Cities of Australia,National or State Highway,891
Moreton Bay,Moreton Bay - South,Major Cities of Australia,Sub-arterial Road,892
Brisbane,Ipswich,Major Cities of Australia,National or State Highway,893
Renmark Paringa,South Australia - South East,Outer Regional Australia,National or State Highway,894
Parramatta,Sydney - Ryde,Major Cities of Australia,Local Road,895
Hume,Melbourne - North West,Major Cities of Australia,National or State Highway,896
Tamworth,New England and North West,Inner Regional Australia,Arterial Road,897
Adelaide,Adelaide - Central and Hills,Major Cities of Australia,Access road,898
Coffs Harbour,Coffs Harbour - Grafton,Inner Regional Australia,Arterial Road,899
Port Macquarie-Hastings,Mid North Coast,Outer Regional Australia,National or State Highway,900
Wangaratta,Hume,Inner Regional Australia,Local Road,901
Murray River,Murray,Outer Regional Australia,Sub-arterial Road,902
Southern Downs,Darling Downs - Maranoa,Inner Regional Australia,Collector Road,903
Kingborough,South East,Outer Regional Australia,Sub-arterial Road,904
Victoria Daly,Northern Territory - Outback,Very Remote Australia,National or State Highway,905
Greater Geelong,Geelong,Major Cities of Australia,National or State Highway,906
Shellharbour,Illawarra,Major Cities of Australia,Arterial Road,907
Barunga West,Barossa - Yorke - Mid North,Outer Regional Australia,Local Road,908
Shoalhaven,Southern Highlands and Shoalhaven,Inner Regional Australia,Arterial Road,909
Wattle Range,South Australia - South East,Outer Regional Australia,Sub-arterial Road,910
Baw Baw,Latrobe - Gippsland,Inner Regional Australia,National or State Highway,911
Hornsby,Sydney - Ryde,Major Cities of Australia,Local Road,912
Launceston,Launceston and North East,Inner Regional Australia,National or State Highway,913
Unincorporated SA,South Australia - Outback,Remote Australia,Arterial Road,914
Merri-bek,Melbourne - Inner,Major Cities of Australia,Sub-arterial Road,915
Alexandrina,South Australia - South East,Inner Regional Australia,Local Road,916
Copper Coast,Barossa - Yorke - Mid North,Outer Regional Australia,Arterial Road,917
Somerset,Ipswich,Inner Regional Australia,National or State Highway,918
Burnie,West and North West,Outer Regional Australia,Collector Road,919
Lockhart,Riverina,Inner Regional Australia,Arterial Road,920
Naracoorte Lucindale,South Australia - South East,Outer Regional Australia,Arterial Road,921
Narrabri,New England and North West,Outer Regional Australia,National or State Highway,922
Southern Mallee,South Australia - South East,Remote Australia,Local Road,923
Greater Hume,Murray,Inner Regional Australia,Sub-arterial Road,924
Gwydir,New England and North West,Outer Regional Australia,Local Road,925
Wollondilly,Sydney - Outer South West,Inner Regional Australia,Local Road,926
Glen Innes Severn,New England and North West,Inner Regional Australia,Local Road,927
Dubbo,Far West and Orana,Outer Regional Australia,Arterial Road,928
Hornsby,Sydney - Baulkham Hills and Hawkesbury,Inner Regional Australia,Arterial Road,929
Kentish,West and North West,Outer Regional Australia,Sub-arterial Road,930
Goyder,Barossa - Yorke - Mid North,Inner Regional Australia,Local Road,931
Marion,Adelaide - South,Major Cities of Australia,National or State Highway,932
Brimbank,Melbourne - North West,Major Cities of Australia,National or State Highway,933
Brisbane,Ipswich,Major Cities of Australia,Local Road,934
Maroondah,Melbourne - Outer East,Major Cities of Australia,National or State Highway,935
Melbourne,Melbourne - Inner,Major Cities of Australia,Collector Road,936
Adelaide Plains,Adelaide - North,Inner Regional Australia,National or State Highway,937
Flinders Ranges,South Australia - Outback,Outer Regional Australia,Arterial Road,938
Adelaide Plains,Adelaide - North,Inner Regional Australia,Collector Road,939
Light,Barossa - Yorke - Mid North,Inner Regional Australia,Local Road,940
Moira,Shepparton,Outer Regional Australia,National or State Highway,941
Murrindindi,Hume,Inner Regional Australia,Access road,942
West Wimmera,North West,Outer Regional Australia,National or State Highway,943
South Gippsland,Latrobe - Gippsland,Inner Regional Australia,Local Road,944
Adelaide Hills,Adelaide - Central and Hills,Inner Regional Australia,Collector Road,945
Tenterfield,New England and North West,Outer Regional Australia,Local Road,946
Whitehorse,Melbourne - Inner East,Major Cities of Australia,National or State Highway,947
Greater Geelong,Geelong,Inner Regional Australia,Sub-arterial Road,948
Mareeba,Cairns,Outer Regional Australia,National or State Highway,949
Central Coast (NSW),Central Coast,Inner Regional Australia,National or State Highway,950
Lake Macquarie,Newcastle and Lake Macquarie,Major Cities of Australia,Sub-arterial Road,951
Campbelltown (SA),Adelaide - Central and Hills,Major Cities of Australia,Local Road,952
Naracoorte Lucindale,South Australia - South East,Outer Regional Australia,National or State Highway,953
Loddon,Bendigo,Inner Regional Australia,Arterial Road,954
Yass Valley,Capital Region,Inner Regional Australia,Arterial Road,955
Wagga Wagga,Riverina,Inner Regional Australia,Local Road,956
Northern Grampians,North West,Outer Regional Australia,Collector Road,957
West Coast,West and North West,Remote Australia,Arterial Road,958
Junee,Riverina,Inner Regional Australia,Access road,959
Victor Harbor,South Australia - South East,Inner Regional Australia,National or State Highway,960
Tea Tree Gully,Adelaide - North,Major Cities of Australia,Local Road,961
Burnside,Adelaide - Central and Hills,Major Cities of Australia,Local Road,962
Coomalie ,Northern Territory - Outback,Remote Australia,National or State Highway,963
Victor Harbor,South Australia - South East,Inner Regional Australia,Collector Road,964
Manningham,Melbourne - Outer East,Major Cities of Australia,Sub-arterial Road,965
Corangamite,Warrnambool and South West,Outer Regional Australia,Arterial Road,966
Southern Grampians,Warrnambool and South West,Outer Regional Australia,Sub-arterial Road,967
Hunters Hill,Sydney - Ryde,Major Cities of Australia,Arterial Road,968
Golden Plains,Geelong,Inner Regional Australia,Access road,969
Brimbank,Melbourne - West,Major Cities of Australia,Collector Road,970
Wakefield,Barossa - Yorke - Mid North,Inner Regional Australia,National or State Highway,971
Hornsby,Sydney - North Sydney and Hornsby,Major Cities of Australia,Local Road,972
Mornington Peninsula,Mornington Peninsula,Major Cities of Australia,National or State Highway,973
Benalla,Hume,Outer Regional Australia,Sub-arterial Road,974
Blue Mountains,Sydney - Outer West and Blue Mountains,Major Cities of Australia,Local Road,975
Greater Hume,Murray,Inner Regional Australia,Access road,976
Playford,Adelaide - North,Inner Regional Australia,Sub-arterial Road,977
Banana,Central Queensland,Outer Regional Australia,Sub-arterial Road,978
Douglas,Cairns,Outer Regional Australia,Collector Road,979
Mosman,Sydney - North Sydney and Hornsby,Major Cities of Australia,Arterial Road,980
Redland,Brisbane - East,Major Cities of Australia,Collector Road,981
Glamorgan-Spring Bay,South East,Outer Regional Australia,National or State Highway,982
Lithgow,Central West,Inner Regional Australia,Arterial Road,983
Hawkesbury,Sydney - Outer West and Blue Mountains,Major Cities of Australia,Arterial Road,984
Penrith,Sydney - Outer West and Blue Mountains,Inner Regional Australia,Arterial Road,985
Wakefield,Barossa - Yorke - Mid North,Outer Regional Australia,National or State Highway,986
Inner West,Sydney - Inner West,Major Cities of Australia,Arterial Road,987
Wollongong,Illawarra,Major Cities of Australia,Local Road,988
Alexandrina,South Australia - South East,Inner Regional Australia,Sub-arterial Road,989
Southern Midlands,South East,Outer Regional Australia,National or State Highway,990
Towong,Hume,Outer Regional Australia,Collector Road,991
Campbelltown (SA),Adelaide - Central and Hills,Major Cities of Australia,Sub-arterial Road,992
Cassowary Coast,Cairns,Outer Regional Australia,Local Road,993
Tamworth,New England and North West,Outer Regional Australia,Local Road,994
Brisbane,Brisbane - West,Major Cities of Australia,Local Road,995
Upper Hunter,Hunter Valley exc Newcastle,Outer Regional Australia,Sub-arterial Road,996
Albury,Murray,Inner Regional Australia,Sub-arterial Road,997
Scenic Rim,Logan - Beaudesert,Outer Regional Australia,National or State Highway,998
Armidale,New England and North West,Outer Regional Australia,Arterial Road,999
Playford,Adelaide - North,Major Cities of Australia,Collector Road,1000
Moreton Bay,Moreton Bay - North,Major Cities of Australia,Access road,1001
Mount Alexander,Bendigo,Inner Regional Australia,Arterial Road,1002
North Sydney,Sydney - North Sydney and Hornsby,Major Cities of Australia,Local Road,1003
Tamworth,New England and North West,Outer Regional Australia,National or State Highway,1004
Roper Gulf,Northern Territory - Outback,Very Remote Australia,Sub-arterial Road,1005
Brisbane,Brisbane - East,Major Cities of Australia,Local Road,1006
Western Downs,Darling Downs - Maranoa,Inner Regional Australia,National or State Highway,1007
Break O'Day,Launceston and North East,Outer Regional Australia,Collector Road,1008
Woollahra,Sydney - Eastern Suburbs,Major Cities of Australia,Local Road,1009
Prospect,Adelaide - Central and Hills,Major Cities of Australia,Arterial Road,1010
Carrathool,Riverina,Outer Regional Australia,Sub-arterial Road,1011
Port Adelaide Enfield,Adelaide - West,Major Cities of Australia,National or State Highway,1012
Bland,Central West,Outer Regional Australia,Sub-arterial Road,1013
MacDonnell,Northern Territory - Outback,Very Remote Australia,Arterial Road,1014
Tablelands,Cairns,Outer Regional Australia,Local Road,1015
Gannawarra,North West,Outer Regional Australia,Sub-arterial Road,1016
Hawkesbury,Sydney - Baulkham Hills and Hawkesbury,Inner Regional Australia,Sub-arterial Road,1017
Parramatta,Sydney - Ryde,Major Cities of Australia,Pedestrian Thoroughfare,1018
Wodonga,Hume,Inner Regional Australia,Sub-arterial Road,1019
Southern Midlands,South East,Outer Regional Australia,Local Road,1020
Clarence Valley,Coffs Harbour - Grafton,Inner Regional Australia,Local Road,1021
Lockyer Valley,Ipswich,Inner Regional Australia,Sub-arterial Road,1022
Mount Remarkable,Barossa - Yorke - Mid North,Outer Regional Australia,Local Road,1023
Balranald,Murray,Remote Australia,Local Road,1024
Douglas,Cairns,Outer Regional Australia,Sub-arterial Road,1025
Mornington Peninsula,Mornington Peninsula,Major Cities of Australia,Local Road,1026
Mackay,Mackay - Isaac - Whitsunday,Inner Regional Australia,Access road,1027
Murray Bridge,South Australia - South East,Inner Regional Australia,Arterial Road,1028
Maitland,Hunter Valley exc Newcastle,Major Cities of Australia,Sub-arterial Road,1029
Latrobe (Vic.),Latrobe - Gippsland,Inner Regional Australia,Access road,1030
Mareeba,Queensland - Outback,Remote Australia,Collector Road,1031
Maribyrnong,Melbourne - West,Major Cities of Australia,Local Road,1032
Griffith,Riverina,Outer Regional Australia,Arterial Road,1033
Manningham,Melbourne - Outer East,Major Cities of Australia,Collector Road,1034
Brighton,Hobart,Inner Regional Australia,National or State Highway,1035
Northern Midlands,Launceston and North East,Inner Regional Australia,Sub-arterial Road,1036
Mildura,North West,Remote Australia,Local Road,1037
Cook,Queensland - Outback,Remote Australia,Local Road,1038
Parkes,Central West,Outer Regional Australia,National or State Highway,1039
Launceston,Launceston and North East,Outer Regional Australia,National or State Highway,1040
Brisbane,Brisbane - East,Major Cities of Australia,Collector Road,1041
Southern Downs,Darling Downs - Maranoa,Outer Regional Australia,National or State Highway,1042
Wellington,Latrobe - Gippsland,Outer Regional Australia,National or State Highway,1043
Port Phillip,Melbourne - Inner,Major Cities of Australia,Local Road,1044
Hobsons Bay,Melbourne - West,Major Cities of Australia,Arterial Road,1045
Weddin,Central West,Outer Regional Australia,National or State Highway,1046
Nambucca Valley,Mid North Coast,Outer Regional Australia,Sub-arterial Road,1047
East Gippsland,Latrobe - Gippsland,Outer Regional Australia,National or State Highway,1048
Ballarat,Ballarat,Inner Regional Australia,National or State Highway,1049
Merri-bek,Melbourne - North West,Major Cities of Australia,Local Road,1050
Northern Peninsula Area,Queensland - Outback,Very Remote Australia,Access road,1051
Cowra,Central West,Inner Regional Australia,Sub-arterial Road,1052
Mitchell,Melbourne - North East,Major Cities of Australia,Local Road,1053
Corangamite,Warrnambool and South West,Inner Regional Australia,National or State Highway,1054
Maitland,Hunter Valley exc Newcastle,Major Cities of Australia,National or State Highway,1055
Wingecarribee,Sydney - Outer South West,Inner Regional Australia,Local Road,1056
Kyogle,Richmond - Tweed,Outer Regional Australia,Arterial Road,1057
Port Stephens,Hunter Valley exc Newcastle,Major Cities of Australia,Local Road,1058
Cumberland,Sydney - Parramatta,Major Cities of Australia,National or State Highway,1059
Corangamite,Warrnambool and South West,Outer Regional Australia,National or State Highway,1060
South Gippsland,Latrobe - Gippsland,Inner Regional Australia,Sub-arterial Road,1061
Roper Gulf,Northern Territory - Outback,Very Remote Australia,National or State Highway,1062
Cumberland,Sydney - Parramatta,Major Cities of Australia,Arterial Road,1063
Tenterfield,New England and North West,Outer Regional Australia,Arterial Road,1064
Unincorporated NT,Darwin,Outer Regional Australia,Arterial Road,1065
Copper Coast,Barossa - Yorke - Mid North,Outer Regional Australia,Sub-arterial Road,1066
East Gippsland,Latrobe - Gippsland,Outer Regional Australia,Sub-arterial Road,1067
Clarence,Hobart,Inner Regional Australia,Sub-arterial Road,1068
Orroroo Carrieton,Barossa - Yorke - Mid North,Outer Regional Australia,Arterial Road,1069
Eurobodalla,Capital Region,Outer Regional Australia,Local Road,1070
Blue Mountains,Sydney - Outer West and Blue Mountains,Inner Regional Australia,Arterial Road,1071
Tatiara,South Australia - South East,Outer Regional Australia,Collector Road,1072
Barkly,Northern Territory - Outback,Very Remote Australia,Access road,1073
Central Goldfields,Ballarat,Inner Regional Australia,Arterial Road,1074
Central Highlands (Qld),Central Queensland,Remote Australia,National or State Highway,1075
Gawler,Adelaide - North,Major Cities of Australia,Sub-arterial Road,1076
Federation,Murray,Outer Regional Australia,Arterial Road,1077
Fairfield,Sydney - South West,Major Cities of Australia,Busway,1078
Moonee Valley,Melbourne - North West,Major Cities of Australia,Sub-arterial Road,1079
Unincorporated NT,Northern Territory - Outback,Remote Australia,Sub-arterial Road,1080
Alice Springs,Northern Territory - Outback,Remote Australia,National or State Highway,1081
Livingstone,Central Queensland,Inner Regional Australia,Local Road,1082
Central Darling,Far West and Orana,Very Remote Australia,Arterial Road,1083
Balonne,Darling Downs - Maranoa,Remote Australia,National or State Highway,1084
Moorabool,Melbourne - West,Inner Regional Australia,Sub-arterial Road,1085
Roper Gulf,Northern Territory - Outback,Very Remote Australia,Access road,1086
Wakefield,Barossa - Yorke - Mid North,Inner Regional Australia,Sub-arterial Road,1087
Mount Barker,Adelaide - Central and Hills,Inner Regional Australia,Local Road,1088
Murrindindi,Hume,Inner Regional Australia,Collector Road,1089
Corangamite,Warrnambool and South West,Inner Regional Australia,Arterial Road,1090
Canterbury-Bankstown,Sydney - Inner South West,Major Cities of Australia,National or State Highway,1091
Naracoorte Lucindale,South Australia - South East,Outer Regional Australia,Collector Road,1092
Greater Hume,Murray,Inner Regional Australia,National or State Highway,1093
Kingborough,Hobart,Inner Regional Australia,Collector Road,1094
Sutherland,Sydney - Sutherland,Inner Regional Australia,National or State Highway,1095
Inner West,Sydney - Inner West,Major Cities of Australia,National or State Highway,1096
Rockhampton,Central Queensland,Inner Regional Australia,Sub-arterial Road,1097
Clarence,Hobart,Inner Regional Australia,Collector Road,1098
Maranoa,Darling Downs - Maranoa,Very Remote Australia,Local Road,1099
Grant,South Australia - South East,Outer Regional Australia,Arterial Road,1100
Merri-bek,Melbourne - Inner,Major Cities of Australia,Arterial Road,1101
Hobsons Bay,Melbourne - West,Major Cities of Australia,National or State Highway,1102
Yarra Ranges,Melbourne - Outer East,Major Cities of Australia,National or State Highway,1103
Loddon,Bendigo,Outer Regional Australia,Arterial Road,1104
Walgett,Far West and Orana,Remote Australia,Arterial Road,1105
Maribyrnong,Melbourne - West,Major Cities of Australia,Arterial Road,1106
Coolamon,Riverina,Outer Regional Australia,Arterial Road,1107
Cardinia,Melbourne - South East,Major Cities of Australia,Local Road,1108
West Tamar,Launceston and North East,Outer Regional Australia,Collector Road,1109
Whitsunday,Mackay - Isaac - Whitsunday,Remote Australia,Local Road,1110
Bulloo,Queensland - Outback,Very Remote Australia,Sub-arterial Road,1111
Bellingen,Coffs Harbour - Grafton,Outer Regional Australia,Arterial Road,1112
Greater Hume,Murray,Outer Regional Australia,Arterial Road,1113
Central Highlands (Qld),Central Queensland,Remote Australia,Sub-arterial Road,1114
Unincorporated ACT,Australian Capital Territory,Major Cities of Australia,Access road,1115
Corangamite,Warrnambool and South West,Inner Regional Australia,Local Road,1116
Central Desert,Northern Territory - Outback,Very Remote Australia,Access road,1117
Lane Cove,Sydney - North Sydney and Hornsby,Major Cities of Australia,National or State Highway,1118
Willoughby,Sydney - North Sydney and Hornsby,Major Cities of Australia,Collector Road,1119
Litchfield,Darwin,Outer Regional Australia,National or State Highway,1120
Unincorporated SA,South Australia - Outback,Very Remote Australia,Sub-arterial Road,1121
Walcha,New England and North West,Outer Regional Australia,Local Road,1122
MacDonnell,Northern Territory - Outback,Very Remote Australia,National or State Highway,1123
Northern Grampians,North West,Inner Regional Australia,National or State Highway,1124
Latrobe (Tas.),West and North West,Outer Regional Australia,Sub-arterial Road,1125
Mitchell,Hume,Inner Regional Australia,Arterial Road,1126
Bogan,Far West and Orana,Very Remote Australia,National or State Highway,1127
Brisbane,Brisbane - South,Major Cities of Australia,Access road,1128
Cloncurry,Queensland - Outback,Very Remote Australia,Local Road,1129
Mackay,Mackay - Isaac - Whitsunday,Inner Regional Australia,Local Road,1130
The Hills,Sydney - Baulkham Hills and Hawkesbury,Inner Regional Australia,Collector Road,1131
South Gippsland,Latrobe - Gippsland,Outer Regional Australia,Sub-arterial Road,1132
Mid-Coast,Mid North Coast,Outer Regional Australia,Arterial Road,1133
West Tamar,Launceston and North East,Inner Regional Australia,National or State Highway,1134
Wollondilly,Illawarra,Inner Regional Australia,Arterial Road,1135
Sorell,Hobart,Inner Regional Australia,Collector Road,1136
Cabonne,Central West,Outer Regional Australia,National or State Highway,1137
Bayside (NSW),Sydney - City and Inner South,Major Cities of Australia,Local Road,1138
Mount Barker,Adelaide - Central and Hills,Major Cities of Australia,Collector Road,1139
Woollahra,Sydney - Eastern Suburbs,Major Cities of Australia,Arterial Road,1140
Cleve,South Australia - Outback,Remote Australia,Local Road,1141
Banyule,Melbourne - North East,Major Cities of Australia,Arterial Road,1142
Light,Barossa - Yorke - Mid North,Inner Regional Australia,National or State Highway,1143
Mildura,North West,Outer Regional Australia,Arterial Road,1144
Sutherland,Sydney - Sutherland,Major Cities of Australia,Collector Road,1145
Moorabool,Ballarat,Inner Regional Australia,Access road,1146
Burnie,West and North West,Outer Regional Australia,Sub-arterial Road,1147
Central Coast (Tas.),West and North West,Outer Regional Australia,Local Road,1148
Melbourne,Melbourne - Inner,Major Cities of Australia,Sub-arterial Road,1149
Burwood,Sydney - Inner West,Major Cities of Australia,Local Road,1150
Noosa,Sunshine Coast,Major Cities of Australia,Local Road,1151
Barossa,Barossa - Yorke - Mid North,Inner Regional Australia,Arterial Road,1152
Inner West,Sydney - City and Inner South,Major Cities of Australia,Collector Road,1153
Cardinia,Melbourne - South East,Major Cities of Australia,Access road,1154
Hilltops,Capital Region,Outer Regional Australia,Arterial Road,1155
Unincorporated NT,Northern Territory - Outback,Remote Australia,Access road,1156
West Arnhem,Northern Territory - Outback,Remote Australia,Arterial Road,1157
Yarra,Melbourne - Inner,Major Cities of Australia,Sub-arterial Road,1158
Glen Eira,Melbourne - Inner South,Major Cities of Australia,Sub-arterial Road,1159
Port Pirie,Barossa - Yorke - Mid North,Outer Regional Australia,National or State Highway,1160
Central Highlands (Qld),Central Queensland,Outer Regional Australia,Local Road,1161
Wentworth,Murray,Outer Regional Australia,National or State Highway,1162
Federation,Murray,Inner Regional Australia,National or State Highway,1163
Merri-bek,Melbourne - North West,Major Cities of Australia,Arterial Road,1164
Canterbury-Bankstown,Sydney - Parramatta,Major Cities of Australia,Local Road,1165
King Island,West and North West,Very Remote Australia,Arterial Road,1166
Glenorchy,Hobart,Inner Regional Australia,Local Road,1167
Palmerston,Darwin,Outer Regional Australia,Arterial Road,1168
Port Phillip,Melbourne - Inner,Major Cities of Australia,Arterial Road,1169
Kangaroo Island,South Australia - South East,Remote Australia,Local Road,1170
Merri-bek,Melbourne - Inner,Major Cities of Australia,Local Road,1171
Gwydir,New England and North West,Outer Regional Australia,Arterial Road,1172
Whittlesea,Melbourne - North East,Major Cities of Australia,National or State Highway,1173
Kangaroo Island,South Australia - South East,Remote Australia,Sub-arterial Road,1174
Meander Valley,Launceston and North East,Inner Regional Australia,National or State Highway,1175
Waratah-Wynyard,West and North West,Outer Regional Australia,Collector Road,1176
Moira,Shepparton,Inner Regional Australia,Sub-arterial Road,1177
Uralla,New England and North West,Inner Regional Australia,Local Road,1178
Holdfast Bay,Adelaide - South,Major Cities of Australia,Arterial Road,1179
Tweed,Richmond - Tweed,Inner Regional Australia,Sub-arterial Road,1180
Wodonga,Hume,Inner Regional Australia,National or State Highway,1181
Douglas,Cairns,Remote Australia,Collector Road,1182
Greater Bendigo,Bendigo,Inner Regional Australia,Arterial Road,1183
Darwin,Darwin,Outer Regional Australia,Local Road,1184
Berrigan,Murray,Inner Regional Australia,National or State Highway,1185
Charters Towers,Townsville,Outer Regional Australia,National or State Highway,1186
Carrathool,Riverina,Remote Australia,Arterial Road,1187
Eurobodalla,Capital Region,Inner Regional Australia,Arterial Road,1188
Devonport,West and North West,Outer Regional Australia,Arterial Road,1189
Ararat,North West,Outer Regional Australia,Sub-arterial Road,1190
Murrindindi,Melbourne - North East,Inner Regional Australia,Access road,1191
Strathbogie,Hume,Inner Regional Australia,Sub-arterial Road,1192
Gladstone,Central Queensland,Inner Regional Australia,Local Road,1193
Bogan,Far West and Orana,Remote Australia,Sub-arterial Road,1194
Noosa,Sunshine Coast,Inner Regional Australia,Collector Road,1195
Junee,Riverina,Inner Regional Australia,Arterial Road,1196
Murrindindi,Melbourne - North East,Inner Regional Australia,Local Road,1197
Alpine,Hume,Outer Regional Australia,National or State Highway,1198
Gilgandra,Far West and Orana,Outer Regional Australia,Sub-arterial Road,1199
Brewarrina,Far West and Orana,Very Remote Australia,National or State Highway,1200
Wollondilly,Sydney - Outer West and Blue Mountains,Inner Regional Australia,Sub-arterial Road,1201
East Arnhem,Northern Territory - Outback,Very Remote Australia,Sub-arterial Road,1202
Port Lincoln,South Australia - Outback,Remote Australia,Sub-arterial Road,1203
Carpentaria,Queensland - Outback,Very Remote Australia,Collector Road,1204
Naracoorte Lucindale,South Australia - South East,Outer Regional Australia,Sub-arterial Road,1205
Light,Adelaide - North,Inner Regional Australia,Sub-arterial Road,1206
Newcastle,Newcastle and Lake Macquarie,Major Cities of Australia,Local Road,1207
